step,fmin,action,fnum,fmean,fstd,fmin,fmax
0,0.21163541084435067,update_method,1,0.21163541084435067,0.0,0.21163541084435067,0.21163541084435067
1,0.9942557950600841,update_method,1,0.9942557950600841,0.0,0.9942557950600841,0.9942557950600841
2,0.7215669171243126,update_method,1,0.7215669171243126,0.0,0.7215669171243126,0.7215669171243126
3,0.36632232458388014,update_method,1,0.36632232458388014,0.0,0.36632232458388014,0.36632232458388014
4,0.030460622124855785,update_method,1,0.030460622124855785,0.0,0.030460622124855785,0.030460622124855785
5,0.7323559047104825,update_method,1,0.7323559047104825,0.0,0.7323559047104825,0.7323559047104825
6,0.047295775244397986,create_method,2,0.38982583997744025,0.34253006473304226,0.047295775244397986,0.7323559047104825
7,0.047295775244397986,create_method,3,0.5625379565997792,0.37131771744291736,0.047295775244397986,0.9079621898444571
8,0.16596978039009458,update_method,3,0.6020959583150114,0.316611143358522,0.16596978039009458,0.9079621898444571
9,0.16596978039009458,call_method,3,0.4672341629144474,0.31856528897035974,0.16596978039009458,0.9079621898444571
10,0.08086884227215896,remove_method,2,0.494415516058308,0.41354667378614907,0.08086884227215896,0.9079621898444571
11,0.3615348837257557,update_method,2,0.6347485367851065,0.2732136530593507,0.3615348837257557,0.9079621898444571
12,0.45334123427782047,update_method,2,0.6806517120611388,0.2273104777833183,0.45334123427782047,0.9079621898444571
13,0.45046312393238497,create_method,3,0.6039221826848875,0.2149919616248996,0.45046312393238497,0.9079621898444571
14,0.20665518497569402,call_method,3,0.5216934995841788,0.2907039772473258,0.20665518497569402,0.9079621898444571
15,0.36213411706129184,call_method,3,0.5735198102793779,0.23921995778024424,0.36213411706129184,0.9079621898444571
16,0.052085409519048276,update_method,3,0.4701702410986301,0.3496879977211115,0.052085409519048276,0.9079621898444571
17,0.45046312393238497,update_method,3,0.7130674671971896,0.19281215966277085,0.45046312393238497,0.9079621898444571
18,0.7420557172990706,update_method,3,0.8102649983194182,0.07086791496656662,0.7420557172990706,0.9079621898444571
19,0.16486740297553726,update_method,3,0.6178688935449071,0.3245014385054211,0.16486740297553726,0.9079621898444571
20,0.3074056975500291,update_method,3,0.6653816584030711,0.25839776051154445,0.3074056975500291,0.9079621898444571
21,0.640085105957774,update_method,3,0.7762747945389861,0.10940669084190371,0.640085105957774,0.9079621898444571
22,0.10769530745223832,update_method,3,0.5988115283704741,0.35113185498834604,0.10769530745223832,0.9079621898444571
23,0.7807770878147271,update_method,3,0.8416137419772025,0.052069168401023644,0.7807770878147271,0.9079621898444571
24,0.5657859452251643,update_method,3,0.7699500277806816,0.1473164463188,0.5657859452251643,0.9079621898444571
25,0.6354491063973915,update_method,3,0.7931710815047573,0.11532024873809503,0.6354491063973915,0.9079621898444571
26,0.0020868115741465854,call_method,3,0.4912126220813205,0.3554325389497108,0.0020868115741465854,0.8361019482724236
27,0.62736413473849,update_method,3,0.6996383964694349,0.09655073767954517,0.62736413473849,0.8361019482724236
28,0.28501285319385694,update_method,3,0.585521302621224,0.2277343289464897,0.28501285319385694,0.8361019482724236
29,0.2076211825378802,update_method,3,0.5597240790692317,0.26210395907916306,0.2076211825378802,0.8361019482724236
30,0.2076211825378802,create_method,4,0.47742146013784303,0.2680392271154072,0.2076211825378802,0.8361019482724236
31,0.230513603343677,call_method,4,0.6666252333703712,0.2777494727388507,0.230513603343677,0.9644362754679925
32,0.19132674100048608,update_method,4,0.6568285177845734,0.29321940543145664,0.19132674100048608,0.9644362754679925
33,0.19132674100048608,create_method,5,0.5922191582382705,0.29236889906622304,0.19132674100048608,0.9644362754679925
34,0.33378172005305884,update_method,5,0.7326309211677232,0.22751132657124695,0.33378172005305884,0.9644362754679925
35,0.33378172005305884,call_method,5,0.7614470372270492,0.22244566300701654,0.33378172005305884,0.9644362754679925
36,0.22140295698774215,call_method,5,0.6128403735309991,0.2783643799909328,0.22140295698774215,0.8933855556477495
37,0.22140295698774215,create_method,6,0.5527920992916927,0.28740433115857605,0.22140295698774215,0.8933855556477495
38,0.2525507280951603,update_method,6,0.6524058082916836,0.2572817550817355,0.2525507280951603,0.8933855556477495
39,0.33378172005305884,update_method,6,0.7248333856265102,0.18574606807032454,0.33378172005305884,0.8933855556477495
40,0.25430452821695493,update_method,6,0.7115871869871594,0.21386632922557267,0.25430452821695493,0.8933855556477495
41,0.6871161921041202,update_method,6,0.7848974931764131,0.07459053750491572,0.6871161921041202,0.8933855556477495
42,0.3752924465573889,call_method,6,0.7175246198203077,0.17024264359800645,0.3752924465573889,0.8933855556477495
