"","repo_names","p_values_","xmin_values_","alfa_values_"
"1","simulation0",0.68,1,1.55903159991405
"2","simulation1",0.06,2,1.54295099655252
"3","simulation2",0.19,2,1.59757347079119
"4","simulation3",0.26,2,1.60000898464269
"5","simulation4",0.12,2,1.5712654632314
"6","simulation5",0.41,2,1.52848709574254
"7","simulation6",0.02,1,1.70820580993533
"8","simulation7",0.26,2,1.57459136164138
"9","simulation8",0.76,2,1.57382257139998
"10","simulation9",0.78,9,1.6677246222416
