sim,step,fmin,action,fnum,fmean,fstd,fmin,fmax,code_size,changes
0,0,0.8884693125244112,update_method,1,0.8884693125244112,0.0,0.8884693125244112,0.8884693125244112,1,1
0,1,0.8884693125244112,create_method,2,0.9442346562622056,0.055765343737794404,0.8884693125244112,1.0,1,1
0,2,0.3316816352927957,update_method,2,0.33375794968495476,0.0020763143921590232,0.3316816352927957,0.33583426407711375,2,1
0,3,0.44079052003419134,call_method,2,0.497968838406632,0.05717831837244067,0.44079052003419134,0.5551471567790727,3,1
0,4,0.13800321122777193,update_method,2,0.4850369505258561,0.3470337392980842,0.13800321122777193,0.8320706898239403,4,1
0,5,0.3051380675085723,update_method,2,0.5619803655661493,0.256842298057577,0.3051380675085723,0.8188226636237264,5,1
0,6,0,call_method,2,0.3397784578531917,0.3397784578531917,0.0,0.6795569157063834,6,1
0,7,0,create_method,3,0.39318563856879446,0.2875255133920702,0.0,0.6795569157063834,6,1
0,8,0.12445777007097317,update_method,3,0.48390028083173836,0.37420997653438326,0.12445777007097317,1.0,7,1
0,9,0.08333404409053405,update_method,3,0.3722549297919451,0.37828017799861285,0.08333404409053405,0.9066350835500725,8,1
0,10,0,update_method,3,0.32848537282262574,0.4390664313524997,0.0,0.9490634803795193,9,1
0,11,0,update_method,3,0.2927871244876202,0.3104585319372696,0.0,0.72252416182777,10,1
0,12,0,create_method,4,0.30292367669904846,0.2694376070849957,0.0,0.72252416182777,10,1
0,13,0.15583721163509054,remove_method,3,0.4038982355987313,0.23666865579464183,0.15583721163509054,0.72252416182777,9,1
0,14,0,update_method,3,0.39349723459692676,0.4351463486502797,0.0,1.0,10,1
0,15,0.1481493170011647,update_method,3,0.35171884292216626,0.19443087223354438,0.1481493170011647,0.6135805630110098,11,1
0,16,0.13846777034668542,call_method,3,0.46669870493000304,0.3590401069477249,0.13846777034668542,0.9663183268643012,12,1
0,17,0.13846777034668542,create_method,4,0.4333573620308356,0.3162550936138973,0.13846777034668542,0.9663183268643012,12,1
0,18,0.05414553186449595,update_method,4,0.269170210939082,0.17254988850521,0.05414553186449595,0.507670865225174,13,1
0,19,0.11926422489895966,update_method,4,0.2538796916414534,0.1537138415314281,0.11926422489895966,0.504892267802484,14,1
0,20,0,call_method,4,0.2278504772586434,0.2340752609721185,0.0,0.53153482310084,15,1
0,21,0,update_method,4,0.23430117925407037,0.3457157809221207,0.0,0.82810857146904,16,1
0,22,0,update_method,4,0.27872746955726313,0.3374416453043087,0.0,0.826445131128599,17,1
0,23,0,call_method,4,0.23180814926065474,0.3457707317706839,0.0,0.826445131128599,18,1
0,24,0.14942299756717536,update_method,4,0.35582788522283126,0.31586571756709547,0.14942299756717536,0.9014379921981978,19,1
0,25,0,call_method,4,0.22457841879204055,0.37465369953761113,0.0,0.8732557137676557,20,1
0,26,0,call_method,4,0.21805512101265362,0.16474410340128082,0.0,0.43343508297813893,21,1
0,27,0.14281388984365107,call_method,4,0.26016408036293037,0.11868314264337244,0.14281388984365107,0.4378745936679489,22,1
0,28,0.23222336439710672,update_method,4,0.34086222470352684,0.10279853194679056,0.23222336439710672,0.5100646820596727,23,1
0,29,0,update_method,4,0.15356653756516003,0.11611357908390658,0.0,0.3119048537584791,24,1
0,30,0,update_method,4,0.295910859943599,0.2357203932523041,0.0,0.5906390193791538,25,1
0,31,0.07519203005193248,update_method,4,0.3088010119107921,0.16677093458843695,0.07519203005193248,0.5406937316439022,26,1
0,32,0.19999608493301513,call_method,4,0.32229597367798146,0.115179032594513,0.19999608493301513,0.4951989877755316,27,1
0,33,0.10900172678415526,call_method,4,0.23174378041627514,0.11696448294533936,0.10900172678415526,0.4202819584683869,28,1
0,34,0.10582936535937199,call_method,4,0.2435268873679191,0.11613568136858803,0.10582936535937199,0.4228384182798677,29,1
0,35,0.05285046761760531,update_method,4,0.25589319510465597,0.18891510345384077,0.05285046761760531,0.478048407507273,30,1
0,36,0.024268995050513553,remove_method,3,0.2812760038604563,0.1818204147129305,0.024268995050513553,0.41674678007708693,24,2
0,37,0.11211889808968023,call_method,3,0.42075078106034186,0.2186393522785405,0.11211889808968023,0.5913307982236033,25,1
0,38,0,call_method,3,0.3469865428192172,0.24546464370845134,0.0,0.5294012094757087,26,1
0,39,0.19907057129677996,update_method,3,0.3038118563192117,0.08791420872283928,0.19907057129677996,0.41419378697275133,27,1
0,40,0.04037174895871981,call_method,3,0.36808192822690283,0.235264733562285,0.04037174895871981,0.5817242761728447,28,1
0,41,0.4821497595491441,remove_method,2,0.5319370178609943,0.049787258311850324,0.4821497595491441,0.5817242761728447,23,1
0,42,0.48309082006339515,update_method,2,0.5190364271199073,0.03594560705651215,0.48309082006339515,0.5549820341764194,24,1
0,43,0.29509802864139273,update_method,2,0.3848377549766032,0.08973972633521046,0.29509802864139273,0.47457748131181365,25,1
0,44,0.41814683281120624,update_method,2,0.4466366489213517,0.02848981611014542,0.41814683281120624,0.4751264650314971,26,1
0,45,0.38362760932305584,update_method,2,0.4545504882812284,0.07092287895817256,0.38362760932305584,0.525473367239401,27,1
0,46,0.25946889955108815,update_method,2,0.3687049932650328,0.10923609371394469,0.25946889955108815,0.4779410869789775,28,1
0,47,0.25946889955108815,create_method,3,0.4124699955100219,0.10856227225082508,0.25946889955108815,0.5,28,1
0,48,0.16926367350796173,call_method,3,0.29873770417223255,0.1267001607094588,0.16926367350796173,0.47074425210036946,29,1
0,49,0,call_method,3,0.2723911837554574,0.19277043394470747,0.0,0.4182274480200959,30,1
0,50,0.20610160721601417,update_method,3,0.3086437847513339,0.07251709664356272,0.20610160721601417,0.36130063257234635,31,1
0,51,0.23391572900305224,update_method,3,0.34823984138752717,0.08247033269345799,0.23391572900305224,0.4253901855875188,32,1
0,52,0.3558660755149306,update_method,3,0.44466385674046816,0.07678032853026251,0.3558660755149306,0.5431833886178112,33,1
0,53,0.2888495163814139,remove_method,2,0.3517220549976123,0.0628725386161984,0.2888495163814139,0.4145945936138107,30,2
