Changes
10.0
17.0
81.0
36.0
59.0
12.0
38.0
10.0
158.0
38.0
61.0
108.0
357.0
4.0
1180.0
27.0
29.0
69.0
172.0
50.0
30.0
14.0
51.0
26.0
37.0
20.0
1.0
65.0
3.0
79.0
7.0
13.0
21.0
21.0
2.0
26.0
7.0
119.0
1.0
58.0
19.0
412.0
37.0
12.0
53.0
21.0
9.0
4.0
2.0
13.0
31.0
15.0
155.0
3.0
9.0
8.0
103.0
3.0
61.0
21.0
2.0
3.0
15.0
108.0
94.0
77.0
136.0
32.0
16.0
37.0
20.0
32.0
1.0
102.0
41.0
34.0
145.0
9.0
85.0
54.0
10.0
105.0
71.0
43.0
4.0
2.0
4.0
3.0
34.0
2.0
3.0
14.0
1.0
33.0
152.0
204.0
199.0
201.0
199.0
210.0
199.0
13.0
28.0
45.0
6.0
40.0
1.0
26.0
20.0
164.0
10.0
4.0
3.0
39.0
36.0
9.0
11.0
253.0
19.0
129.0
36.0
73.0
19.0
119.0
51.0
12.0
110.0
57.0
13.0
46.0
37.0
164.0
165.0
81.0
17.0
164.0
23.0
3.0
5.0
24.0
6.0
3.0
110.0
28.0
51.0
2.0
4.0
57.0
29.0
17.0
13.0
26.0
153.0
148.0
2.0
2.0
24.0
85.0
9.0
1.0
5.0
19.0
49.0
9.0
4.0
50.0
34.0
56.0
61.0
17.0
18.0
6.0
13.0
12.0
12.0
2.0
2.0
74.0
27.0
60.0
15.0
14.0
15.0
70.0
11.0
2.0
3.0
4.0
192.0
19.0
33.0
3.0
7.0
47.0
24.0
2.0
1.0
2.0
1.0
1.0
7.0
10.0
11.0
14.0
1.0
6.0
5.0
14.0
12.0
5.0
82.0
112.0
19.0
7.0
6.0
10.0
75.0
11.0
79.0
12.0
12.0
16.0
11.0
3.0
52.0
50.0
3.0
45.0
159.0
153.0
1.0
27.0
6.0
595.0
3.0
20.0
1.0
1.0
25.0
18.0
23.0
9.0
10.0
15.0
18.0
28.0
70.0
26.0
48.0
15.0
29.0
46.0
14.0
20.0
33.0
2.0
3.0
14.0
44.0
33.0
3.0
1.0
4.0
41.0
156.0
47.0
30.0
3.0
9.0
13.0
300.0
300.0
3.0
13.0
7.0
1.0
4.0
22.0
3.0
12.0
3.0
86.0
129.0
7.0
53.0
27.0
22.0
70.0
120.0
5.0
24.0
17.0
27.0
21.0
53.0
7.0
50.0
12.0
7.0
26.0
2.0
8.0
6.0
4.0
8.0
9.0
22.0
34.0
13.0
88.0
1.0
5.0
4.0
10.0
24.0
119.0
1.0
156.0
50.0
53.0
41.0
7.0
5.0
5.0
1.0
9.0
1.0
90.0
440.0
7.0
5.0
27.0
42.0
40.0
2.0
11.0
19.0
15.0
2.0
1.0
20.0
30.0
20.0
29.0
5.0
2.0
20.0
11.0
156.0
2.0
3.0
31.0
335.0
19.0
4.0
5.0
1.0
11.0
19.0
230.0
15.0
81.0
72.0
2.0
26.0
33.0
1.0
2.0
35.0
1.0
149.0
92.0
46.0
1.0
8.0
2.0
2.0
1.0
322.0
343.0
1.0
15.0
16.0
15.0
69.0
7.0
9.0
3.0
4.0
7.0
3.0
7.0
33.0
2.0
425.0
2.0
2.0
80.0
42.0
312.0
593.0
6.0
1.0
26.0
15.0
1.0
23.0
1.0
2.0
14.0
14.0
24.0
5.0
30.0
1.0
98.0
20.0
6.0
6.0
1.0
21.0
6.0
3.0
15.0
37.0
1.0
20.0
216.0
80.0
1.0
12.0
10.0
35.0
14.0
27.0
28.0
1.0
1.0
1.0
2.0
2.0
1.0
5.0
27.0
5.0
2.0
27.0
56.0
27.0
212.0
49.0
1.0
35.0
1.0
1.0
1.0
1.0
1.0
2.0
1.0
0.0
19.0
7.0
14.0
28.0
3.0
395.0
287.0
287.0
0.0
32.0
212.0
1.0
1.0
1.0
1.0
2.0
8.0
424.0
1.0
27.0
5.0
7.0
33.0
33.0
12.0
51.0
200.0
93.0
86.0
466.0
588.0
78.0
2.0
1176.0
1174.0
5.0
1.0
46.0
2.0
42.0
4.0
4.0
47.0
69.0
34.0
357.0
165.0
2.0
37.0
72.0
8.0
30.0
1.0
6.0
62.0
4.0
35.0
3.0
76.0
3.0
45.0
12.0
15.0
25.0
54.0
802.0
1.0
107.0
48.0
143.0
13.0
90.0
15.0
86.0
6.0
1.0
18.0
1.0
127.0
3.0
1.0
2.0
22.0
10.0
1.0
72.0
121.0
315.0
5.0
5.0
9.0
6.0
16.0
2.0
44.0
5.0
49.0
5.0
2.0
582.0
30.0
1.0
1.0
10.0
47.0
54.0
42.0
12.0
113.0
173.0
8.0
18.0
22.0
1.0
1.0
2.0
1.0
1.0
28.0
7.0
3.0
425.0
14.0
3.0
64.0
4.0
6.0
2.0
20.0
51.0
2.0
3.0
23.0
2.0
4.0
37.0
7.0
4.0
23.0
1.0
33.0
16.0
20.0
107.0
19.0
13.0
112.0
39.0
4.0
1.0
3.0
156.0
1.0
113.0
14.0
1.0
151.0
14.0
3.0
136.0
12.0
15.0
2.0
165.0
165.0
36.0
43.0
50.0
61.0
1860.0
1910.0
165.0
1860.0
211.0
7.0
2.0
93.0
106.0
2419.0
2426.0
49.0
5.0
1.0
1.0
39.0
18.0
30.0
28.0
5.0
108.0
30.0
36.0
61.0
1.0
1.0
2.0
3.0
899.0
22.0
14.0
56.0
159.0
1.0
58.0
79.0
80.0
89.0
23.0
28.0
2.0
21.0
2.0
1.0
1.0
38.0
39.0
42.0
7.0
1.0
3.0
1.0
36.0
39.0
33.0
1.0
1.0
63.0
63.0
10.0
33.0
83.0
7.0
1.0
10.0
34.0
48.0
3.0
59.0
1.0
152.0
237.0
2.0
9.0
1.0
8.0
11.0
39.0
1.0
25.0
30.0
2.0
15.0
19.0
46.0
21.0
55.0
46.0
277.0
81.0
15.0
20.0
20.0
2.0
1.0
7.0
64.0
1.0
75.0
40.0
50.0
1.0
25.0
26.0
4.0
2.0
6.0
31.0
39.0
401.0
400.0
34.0
57.0
58.0
13.0
22.0
37.0
2.0
1.0
25.0
24.0
71.0
17.0
18.0
28.0
2.0
37.0
12.0
1.0
10.0
108.0
152.0
6.0
137.0
32.0
2.0
20.0
68.0
46.0
10.0
18.0
18.0
118.0
22.0
1.0
37.0
8.0
